date,player_id,player_name,team,prop_type,lineup_status,lineup_position,verdict,logged_at,actual_result,actual_stat_value,model_probability,sportsbook_odds,sportsbook_line,implied_probability,edge,best_book,xba,xwoba,hard_hit_pct,sweet_spot_pct,whiff_pct,ev50,exit_velocity,barrel_pct,hr_fb_ratio,launch_angle_pct,pitcher_xera,pitcher_hr9,park_factor,platoon_adv,weather_adjustment
2026-05-01,592626,Joc Pederson,TEX,hit,official,5,LEAN,2026-05-02T03:04:41.844500+00:00,0,0.0,0.6102,+1,0.5,0.9901,-0.3799,DraftKings,0.218,0.317,0.529,0.314,0.335,101.4338824,,0.024,0.0,,5.46,1.55,0.5714285714285714,0.62,0.0
2026-05-01,596115,Trevor Story,BOS,hit,official,5,NO,2026-05-02T03:04:41.848541+00:00,1,2.0,0.5862,,,,,,0.214,0.251,0.429,0.321,0.301,99.222320476,,0.023,0.0,,3.85,1.91,0.5714285714285714,0.38,0.0
2026-05-01,605137,Josh Bell,MIN,hit,probable_recent,4,LEAN,2026-05-02T03:04:41.844500+00:00,1,1.0,0.6151,+1,0.5,0.9901,-0.375,DraftKings,0.241,0.332,0.427,0.371,0.264,99.386003111,,0.071,0.0,,5.9,1.09,0.5714285714285714,0.55,0.0
2026-05-01,605170,Victor Caratini,MIN,hit,probable_recent,5,LEAN,2026-05-02T03:04:41.844500+00:00,0,0.0,0.6121,,,,,,0.255,0.34,0.318,0.394,0.184,97.512559697,,0.032,0.0,,5.9,1.09,0.5714285714285714,0.55,0.0
2026-05-01,607043,Brandon Nimmo,TEX,hit,official,1,LEAN,2026-05-02T03:04:41.840343+00:00,1,2.0,0.6309,+1,0.5,0.9901,-0.3592,DraftKings,0.293,0.37,0.469,0.337,0.246,100.88591449,,0.071,0.0,,5.46,1.55,0.5714285714285714,0.62,0.0
2026-05-01,608324,Alex Bregman,CHC,hit,official,3,LEAN,2026-05-02T03:04:41.846523+00:00,1,1.0,0.6073,+1,0.5,0.9901,-0.3828,DraftKings,0.254,0.334,0.452,0.269,0.168,99.622981731,,0.056,0.0,,4.95,0.56,0.5714285714285714,0.38,0.0
2026-05-01,608348,Carson Kelly,CHC,hit,official,7,LEAN,2026-05-02T03:04:41.844500+00:00,1,2.0,0.6126,,,,,,0.273,0.369,0.5,0.3,0.207,101.154097667,,0.08,0.0,,4.95,0.56,0.5714285714285714,0.38,0.0
2026-05-01,608369,Corey Seager,TEX,hit,official,3,LEAN,2026-05-02T03:04:41.844500+00:00,1,1.0,0.6126,+1,0.5,0.9901,-0.3775,DraftKings,0.238,0.335,0.43,0.367,0.357,101.53614525,,0.085,0.0,,5.46,1.55,0.5714285714285714,0.62,0.0
2026-05-01,621020,Dansby Swanson,CHC,hit,official,9,NO,2026-05-02T03:04:41.846523+00:00,1,1.0,0.5984,+1,0.5,0.9901,-0.3917,DraftKings,0.225,0.352,0.479,0.356,0.3,100.437966757,,0.074,0.0,,4.95,0.56,0.5714285714285714,0.38,0.0
2026-05-01,621043,Carlos Correa,HOU,hit,official,1,NO,2026-05-02T03:04:41.846523+00:00,1,3.0,0.596,,,,,,0.288,0.357,0.419,0.349,0.215,102.098233023,,0.066,0.0,,0.0,1.8,0.5714285714285714,0.38,0.0
2026-05-01,621439,Byron Buxton,MIN,hit,probable_recent,1,LEAN,2026-05-02T03:04:41.844500+00:00,1,2.0,0.6097,+1,0.5,0.9901,-0.3804,DraftKings,0.221,0.308,0.455,0.352,0.329,100.619467273,,0.104,0.0,,5.9,1.09,0.5714285714285714,0.38,0.0
2026-05-01,621493,Taylor Ward,BAL,hit,official,2,LEAN,2026-05-02T03:04:41.838323+00:00,0,0.0,0.637,+1,0.5,0.9901,-0.3531,DraftKings,0.295,0.387,0.379,0.389,0.168,99.44276125,,0.035,0.0,,3.51,0.96,0.5714285714285714,0.38,0.0
2026-05-01,621566,Matt Olson,ATL,hit,probable_recent,4,LEAN,2026-05-02T03:04:41.834063+00:00,1,1.0,0.6478,,,,,,0.257,0.389,0.495,0.355,0.259,104.67401766,,0.119,0.0,,5.35,1.85,0.5714285714285714,0.62,0.0
2026-05-01,623168,Tyler Heineman,TOR,hit,probable_recent,9,YES,2026-05-02T03:04:41.834063+00:00,1,1.0,0.661,+1,0.5,0.9901,-0.3291,DraftKings,0.429,0.51,0.625,0.688,0.0,87.3,,0.118,0.0,,4.82,2.08,0.5714285714285714,0.55,0.0
2026-05-01,624413,Pete Alonso,BAL,hit,official,4,LEAN,2026-05-02T03:04:41.843118+00:00,1,1.0,0.6213,+1,0.5,0.9901,-0.3688,DraftKings,0.22,0.326,0.554,0.289,0.281,102.523330714,,0.052,0.0,,3.51,0.96,0.5714285714285714,0.38,0.0
2026-05-01,624641,Edmundo Sosa,PHI,hit,official,5,LEAN,2026-05-02T03:04:41.838323+00:00,1,2.0,0.6432,,,,,,0.297,0.335,0.412,0.324,0.234,101.697419412,,0.045,0.0,,5.15,1.49,0.5714285714285714,0.38,0.0
